id_avis,date,note_avis,commentaire,id_resto,nom_resto,type_cuisine,fourchette_prix,adresse,note_moyenne_resto,description,arrondissement,latitude,longitude,taux_menage_imposable,mediane_niveau_de_vie,taux_pauvrete,min_prix,max_prix
36,juil. 2020,5.0,décoration chaleureux galette crêpe bien fraîcher fait maison personnellement prendre galette asiatique très bon cuisinée mari complet champignon persiller enfant menu peu trop copieux alors échanger crêpe contre glace bon rapide serveur très sympathique serviable revenir,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
37,juil. 2020,1.0,déjà venue janvier problème prise commande méconnaissance carte rupture stock problème encaissemer addition néanmoins décider accorder second chance ce établissement retourner hier malgré bon foi personnel situation encore plus décevant boîte crêpe emporter hermétiquer couvert adapter goutte eau faire posséder carte confluenc possibiliter faire valider ticket parking établissement rendu dire tout arriver bas retrouver payer quasiment euro quoi servir fidélité vraiment très décevoir encore fois retourneron plus,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
38,juil. 2020,1.0,entrée refuser car serveur client seul servir donc crêpe emporter revenir entrée refuser rien accompagner serveuse très peu agréable,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
39,juin 2020,1.0,très très déçu accueil serveur très désagréable conseill tout sentir place derangeais,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
40,juin 2020,1.0,arriver plusieur installer demander carte restaurer crêpe boisson jeune serveur très mal accueillir demander choisir devant entrée pancarte genion passage client entrer pense fatiguer servir minute plus tard cappuccino très mal présenter conseill plutôt mcdo trouver quand aberrant déconseill vivement ce creperie accueil très mal client,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
41,juin 2020,5.0,recomand sans hésiter tre bon part prendre poulet facon aziatiqu femme saumon sauc anette vrement régalé endroit formidable ambiancer equipe super merci encore amelie crep revenir,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
42,juin 2020,5.0,merci hospitalité ce période compliquer vrai plaisir pouvoir déguster excellente galette crêpe service qualité égayer journée,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
43,mars 2020,5.0,venir manger ce après-midi malgré affluence vacance restaurer plein craquer accueillir placer rapidement crêpe très bon serveur patronne très agréable souriant très bientôt,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
44,févr. 2020,1.0,attente interminable jamais personnel accueillir tout bout demi heure quand venir demander bien commander crêp banane chantilly alors commander crêpe nuteller sans chantilly apporter crêpe nuteller chantilly couronner tout devoir dire nutella crêpe vider pot nuteller assiette super écoeurant retournerai plus déconseill quasiment tout revoir,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
45,févr. 2020,1.0,vouloir découvrir ce crêperie entrer ami retourneron service revoir accueillir comme doit rarement gouté crêpe aussi fade pourtant crêpe nuteller plus quelque morceau kinder bueno rien exceptionnel 😏 sans parler serveur passer assurer partir sans payer gros blagu prendre limite voleur bref mettre plus pied ce crêperie,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
