,Date,Notes,Commentaires
47,févr. 2023,"4,0","Dîner entre amis. Une carte simple,mais on vient pour y manger du bœuf (ou du cochon auvergnat) . La viande était excellente, bien persillée et différentes cuissons. Nous avons fini avec petite liqueur de citron !"
48,févr. 2023,"5,0","J’ai tout aimé nous avons pris 8 petite entrée à partager tout était très bon. En viande on a pris la tarentaise qui était très bonne la cuisson est maîtrisée a la perfection. On a pris aussi la jersey beaucoup plus de goût que la première et bien évidemment plus cher. Les pommes de terre grenailles en accompagnement avec un saladier de légumes croquant très bien assorti avec la viande. Ma foi, j’ai appris à payer cher la qualité. Il faut savoir ce que l’on veut. C’est vrai que ce n’est pas accessible à tout le monde. Mais j’y retournerai bien évidemment, a l’occasion."
49,févr. 2023,"5,0",Nous avons réservé dans cet établissement dans Les Halles Paul Bocusse vraiment très bien un personnel plus qu’au top à l’écoute serviable de bon conseil des assiettes très bien garnies puis tout ça dans un lieu incontournable de Lyon merci pour votre professionnalisme.
50,janv. 2023,"4,0",Rien a dire . Produits exceptionnels et personnel au top. Vois voulez vous encanailler?? C'est l'endroit pour. Super viande et super vin. Bravo.
51,janv. 2023,"5,0","Rapport qualité prix irréprochable 

Peszonnel  souriant et agréable qui connais parfaitement ses produits 

Il nous manquer la sauce le chef de salle à couru immédiatement la chercher il l à remarquer de lui même 

Bref tout et parfait 

Bonne ambiance gueleton comme on les aime avec des produits parfaitement maîtriser et cuit "
52,janv. 2023,"4,0","C'est trop cher mais c'est très très bon.
Restaurant de viande, qu'ils savent très bien cuire, une magnifique carte des vins, une salle très chaleureuse. Pour nous l'accueil a été très attentionné. "
53,déc. 2022,"5,0","On m’a fais découvrir ce concept d’un bon gueuleton entre amis et c’est vraiment top!
Produit de qualité, service au top,de qualité partout dans ce restaurant.
Merci pour ce moment"
54,déc. 2022,"5,0","Nous sommes venus à 3 entre collègues, dans l'optique de se faire plaisir sans limite, on s'est régalé et on s'est éclaté (littéralement) en mangeant tous ces plats, c'était magnifique.
Ça vaut largement son prix ! "
55,déc. 2022,"2,0","Vraiment déçu… L’esprit gueuleton que nous sommes venus chercher, n’y était pas du tout… !
 Pas de carte ! une fois que l’on a téléchargé la carte sur son téléphone la composition est simple, quelques entrées à partager de type tapas et ensuite côte de bœuf ou côte de bœuf. Une carte des vins au verre avec seulement trois références
Des côtes de bœuf vendu mâturet , mais pas du tout ! 
Cuisson saignante respecter, mais cuit à la plancha et complètement brûler à l’extérieur. On s’attend quand même en venant ici à des cuissons feu de bois.
Des tarifs exorbitants est nullement justifié des côte de bœuf de 100 € à 4 50 € complètement hallucinant
Une foi de plus l’esprit gueuleton y est vraiment pas

Pour un couple, trois petites entrées à partager, une, côte de bœuf, soi-disant Maturet, deux verres de vin chacun et un café 190 € …"
56,oct. 2022,"5,0","Première fois entre copines dans ce restaurant de bons vivants.
Service très agréable, viande incroyable et vin rouge bien conseillé. 
Je reviendrai"
57,oct. 2022,"4,0","Accueil chaleureux , carte qui met l’eau à la bouche, décoration des plus chaleureuses,… le cadre est posé pour faire un bon gueuleton ! 

Les serveurs sont agréables et on a l’air d’être entre potes pour partager un bon moment ! 

Nous avons laissé le choix pour le vin avec un budget définit pour chaque bouteille , parfait ! 

Le pâté croûte et la terrine de cochon au poivre vert sont délicieux et des plus gourmands  ! 

On reviendra pour manger une bonne viande rouge ! 
Compter un budget de plus de 100€ par tête, tout de même pour goûter a la bonne chair et au bon vin."
58,oct. 2022,"4,0","Une très belle soirée entre amis dans un beau cadre, avec un service au top et de belles viandes.
Le concept rend ce lieu convivial mais c’est surtout son équipe : souriant, disponible, dynamique, de bon conseil !"
59,oct. 2022,"4,0","J'aime beaucoup malgré le prix assez élevé. Ce qui est dommage c'est qu'il n'y a pas assez de quantité dans les entrés à partager. 
Mais j'aime bien surtout l'ambiance très chaleureuse."
60,sept. 2022,"4,0","Cadre chaleureux et sympathique accueil dans ce restaurant (de chaîne ?) spécialisé dans la viande.
La cote de bœuf servie (variété abondance) était vraiment excellente et parfaitement cuite; les petits légumes et pommes grenailles qui l’accompagnaient étaient également très bons.
Les portions de viandes sont facturées au poids ce qui peut rapidement chiffrer selon le morceau choisi !
Petit bémol : bien que très sympa, le serveur pousse un peu beaucoup pour faire monter l’addition (sur les entrées, le vin, les desserts et enfin les digestifs…) ; cela fait à la fin un peu lourd !"
61,sept. 2022,"4,0","Très bon accueil et service.
Viandes excellentes, fondantes. 
Petits légumes et pommes de terre délicieux.
Entrées également très bonnes : nous avons goûté l’os à moelle, le pâté et le jambon qui est à tomber. Même le pain est bon.
Le seul bémol, le prix mais la qualité est bien la.
A découvrir absolument en sachant qu’il faudra prévoir le budget."
62,sept. 2022,"3,0","Personnel sympa mais rapport qualité / prix pas au RDV. L'ensemble est bon, bien servi mais on termine très facilement à plus de 100€ par personne et à ce prix là on peut faire un étoilé."
63,août 2022,"2,0","Très déçu car aux vues des vidéos, je m’attendais à un vrai « concept »… a une convivialité de ouf’, à discuter avec les autres convives, à se partager des plats (comme à « La cave de l’os a moelle » à Paris pour ceux qui connaissent), etc…
Il n’en est rien, c’est un resto au concept tout à fait traditi et…
… j’ai trouvé très très cher.
La qualité est là mais… à ce prix là il ne manquerai plus que ça j’ai envie de dire..!
Le personnel est hyper sympa, plutôt convivial, argumentent bien leurs produits, etc… mais quand la note arrive on se demande s’il n’y a pas trop de marketing du coup.
J’ai hâte d’en essayer d’autres afin de pouvoir comparer (peut dans de plus petites villes)…"
64,juil. 2022,"5,0","Repéré sur les réseaux sociaux, ce restaurant est une invitation à la bonne bouffe. Tout est réussi et se marie parfaitement avec le cadre et la bonne humeur des serveurs. Je recommande de prendre plusieurs entrées qui sont meilleures les unes que les autres. La viande affinée est une explosion de saveur en bouche. Pour autant, pensez à donner votre cuisson si vous n’aimez pas la viande saignante voir bleue. Nous nous sommes régalés de bières et de vin avec notamment un sommelier de tres bons conseils.
Pour ce qui est du prix, prévoyez un bon 80-100€ par personne si vous voulez vivre l’expérience au maximum."
65,juin 2022,"4,0","Très bonne expérience, les viandes sont de très bonne qualité et bien cuites. Nous avons passé un excellent moment chez gueuleton merci."
66,juin 2022,"2,0","Viande très bonne mais le concept ne m'a pas convaincu. Volonté de vous faire dépenser.100 € pour 2 pour 2 entrées 750g de côte de bœuf et 2 verre de vin.
Je ne reviendrai pas malgré une qualité exceptionnelle de la viande. Trop de chi chi. Excessivement bruyant."
67,mai 2022,"5,0","Accueil et service parfait. De l’entrée au dessert tout est bon. Le jambon noir de bigord excellent puis bien conseillé nous avons opté pour une cote de bœuf tarentaise maturée 60j qui était une tuerie. Le dessert à la fraise juste parfait. Le pic St Loup s’accordait bien. 
Tarif un peu élevé justifié au vu de la qualité des produits. 
Bref une très très bonne adresse."
68,mai 2022,"3,0","Nous savions où nous allions. Nous voulions essayer. C'est fait. Le service était plutôt agréable, même s'il a fallut demander à plusieurs reprises de l'eau ou du pain. Les entrées sont bonnes. Les côtes de bœuf aussi. L'accompagnement de petits légumes très bien cuisiné. Quid des petites patates qui baignent dans le gras? Un rapport qualité prix excessif ! Nous ne reviendrons pas. "
69,avr. 2022,"5,0","Réussis à réserver une table pour 3, on ne regrette pas du tout l'attente pour avoir de la place ! 
Serveurs au top, la viande vraiment vraiment de très bonne qualité on s'est régalé. Le prix est assez élevé mais tout est de très bonne qualité que ça soit les entrées à partager, le vin ou la viande. Rien à dire mis à part à faire absolument :)"
70,avr. 2022,"3,0","Le repas est bon mais les tarifs sont prohibitifs par rapport à la qualité des produits proposés. Une côte de boeuf à 140€ pour deux qu'on trouvera meilleure ou moins chère chez des spécialistes de la viande sur lyon. (Butcher ou Argot) Service très long qui plus est et bien loin de l'image véhiculée par ""Gueuleton"". Plus resto à bobo que bons vivants. Déçu."
71,mars 2022,"5,0","Alors, après être abonnée à la revue. vue un milliard de vidéo gueleton !!!
Et bien j y suis allée,  très belle déco, normale c est le concept. repas excellent,  des légumes à tomber, viande au top du top. 
Déçu par le service, long.  gueleton, c est !!! à l attaque,  apero urgent, vins urgent ok"
72,mars 2022,"4,0","Excellente adresse de viande. On tu mange de belles côtes de boeuf :) l'accueil est sympa et la deco est chouette. La carte des vins est immense,  il y en a pour tous les budgets. La cousine est bonne,  c'est maîtrisé ! Nous nous sommes régalés. "
73,mars 2022,"5,0","Très très belle et bonne surprise. Nous ne connaissions pas l enseigne et nous avons été transporté des le début du repas jusqu à la dernière bouchée. En entrée le poulpe et le riz de veau à partager étaient succulents et ensuite la côte parfaitement cuisinée nous a comblé. 
Le service impeccable et Titouan le sommelier a l écoute de nos attentes. A recommander en couple ou en groupe de copains"
74,mars 2022,"5,0","
il y a 2 minutesNOUVEAU

Depuis le temps que je voulais le faire je n'est aucun regret, la réception, les serveurs et le sommelier étaient parfait. L'ambiance reflette à merveille le coter ""bon vivant"". La viande était incroyable, à chaque boucher j'avais l'impression de la déguster pour la première. En un mot cette soirée était incroyable le meilleur resto de ma vie. Merci bon cette soirée.

Visité en mars

"
75,févr. 2022,"5,0","Une très belle soirée passé à déguster/grignoter toutes les entrées autour de quelques bonnes bouteilles 
Accueil très sympathique, cadre rustique sans trop.
Mention spéciale à Titouan le sommelier très agréable et surtout compétent !"
