,Date,Notes,Commentaires
62,oct. 2019,"4,0","De très bons pains à burgers préparés par un artisan boulanger.
Du bon et du copieux pour un super rapport qualité/prix.
Une ambiance et une déco au top!
Le burger VEGETARISH est délicieux."
63,oct. 2019,"5,0","Le Burger est bon, savoureux, et surtout gros, c'est ce qu'on aime! Le rapport qualité prix est donc tout à fait honnête. L'attente a toutefois été un tantinet trop longue"
64,juin 2019,"3,0","La bière est top. Le cadre est cool. Les burgers sont bons. 

Il y a déjà quelques semaines (juin 2019), et après avoir passé une soirée entière à 6-7 autour d'une belle table et avoir bien (allègrement) consommé, nous chambrons un peu et demandons la tournée du chef. Bref, un petit digeot... après avoir mis une bonne ambiance et bien consommé, c'est pas bien méchant, surtout quand tu laisses une belle ardoise... 

L'un des serveurs nous l'a gentiment offert... pour rattraper le coup puisque sa collègue avait refusé de manière ultra cinglante, froide et hautaine, déclarant ""on n'offre rien à ceux qui réclament"".

Pas de soucis. 

Nous n'y reviendrons pas et n'y sommes d'ailleurs pas retournés."
65,août 2019,"5,0","Nous recherchions sur Deliveroo des burgers et quelle bonne surprise de découvrir ceux de Kaffee Berlin ! Même à emporter, tout était très bon et bien emballé, les produits ont l'air frais et fait maison, nous avons tellement aimé que le lendemain nous avons recommandé des salades et vraiment aucun regret, très bien emballées aussi et assez grandes ! Ca change des autres burgers, il y a vraiment beaucoup de choix. Nous recommanderons sans problème."
66,août 2019,"4,0","Burgers de bonne qualité,copieux et servis rapidement et avec le sourire.
Les prix sont corrects et il y un beau choix . 
Une bonne adresse"
67,août 2019,"4,0",ça fait plaisir de pouvoir manger de bon plats et boire de la vraie bière à prix raisonnable en ville. Je recommande. Par contre la queue pour payer est kilométrique.
68,juin 2019,"4,0",Sympa comme adresse pour une salade le midi. Accueil. Cadre. Ambiance... Dix euros la salade. Bien servi. A découvrir si vous travaillez ou étudiez dans le secteur...
69,mai 2019,"4,0",Des burgers de qualité et probablement les meilleures potatoes jamais mangées pour ma part... Les cocktails aussi sont très bons. Le service était effectivement un peu lent ce soir-là mais nous n'étions pas pressés. Le serveur était agréable. Je mets 4/5 car j'estime que les prix sont quand même un peu chers pour certains burgers.
70,mai 2019,"4,0","Un bar où l'on peut aussi venir déguster des superbes pâtisseries. Le gâteau au chocolat était délicieux.
Il y a du choix entre les bières, coktails, softs.. J'ai beaucoup aimé le cocktail Berlin avec la Ginger beer, Gin et citron vert. 

Un lieu idéal pour venir entre amis, en couple ou avec son rencart ! Je recommande et reviendrai certainement 😁"
71,avr. 2019,"5,0","Testé un soir de semaine, pour des boissons. Service au bar, rapide, aimable. Des vraies boissons allemandes à des prix raisonnables, avec un large choix de soft originaux."
72,avr. 2019,"2,0","Je suis allé manger à midi avec des amis, la nourriture est bonne il n'y a rien à redire mais le personnel est loin d'être sympa. 

Tout d'abord, je suis arrivé au restaurant on m'a placé au premier étage, j'ai fait remarqué à la serveuse qu'il faisait extrêmement sombre elle a rien dit alors qu'elle aurait pu essayer de me changer de place ou envoyer plus de lumière en ma direction (j'ai du me lever pour le faire moi-même).

Ensuite, le temps d'attente des plats est extrêmement long. 
Après 35 minutes d'attente, j'ai demandé à la serveuse si elle savait quand est-ce qu'on serait servis, elle m'a répondu froidement et sans lâcher un sourire ""non je sais pas, tout ce que je peux vous dire c'est que ça devrait arriver"". 

Une fois les plats arrivés j'ai dit ""Haleluja"" à mes amis en rigolant, le serveur me rétorque ""Si vous vouliez être servi avant, fallait arriver plus tôt"" et s'en va, alors que nous sommes arrivé à 12h20 (donc pas si tard). 

Bref, nous avons appréciés la nourriture mais nous avons détester l'expérience client.

Ce qui est sûr c'est qu'on n'y mettra plus jamais les pieds !

Sous prétexte que le resto est toujours plein a craqué les midis, les serveurs ne font aucun effort pour satisfaire leur clientèle, ils sont secs, pas souriants, ne s'excusent pas d'importants retards ... 

Restaurateurs, svp faites attention à l'amabilité de vos serveurs car c'est tout aussi important que la qualité de vos plats."
73,avr. 2019,"2,0","Un midi nous avons décidé de tester les fameux bagels/burgers de Kaffe Berlin entre amies mais quelle mauvaise expérience... Non seulement nous avons attendu notre plat près d'une heure (sympa quand la pause de midi est limitée) mais en plus le personnel est fort désagréable. 
C'est dommage car les bagels/burgers sont bons et assez copieux mais on y remettra plus les pieds de part l'attitude du personnel! En plus de cela la salle du haut manque de lumière et est assez bruyante, on s'entend à peine parler."
74,mars 2019,"3,0","Assiettes très copieuses. Cependant, l’équipe n’est pas très sympathique... dommage. Manque réellement de convivialité."
75,mars 2019,"5,0","Découvert par hasard le Kaffee Berlin m'a beaucoup plu. J'y ai pu trouver des plats sans viande, une aubaine, avec de la sauce à volonté et des frites qui croustillent. Le personnel était tout à fait aimable et l'ambiance tranquille. Je recommande à ceux qui cherchent à se poser pour déjeuner entre amis ou juste qui aiment les bagels et les burgers."
76,mars 2019,"5,0","Bar et restaurant génial!
Service sympa et hyper efficace
Ambiance funck
Burgers excellents
Nous sommes de passage dans le secteur mais, si ne revenons ce sera à nouveau avec plaisir👍🏻"
77,févr. 2019,"4,0","Lieu très cosy et cool sur Lyon. Très bons burgers avec viande de très bonne qualité. Je conseille également leur menu saucisses degustation, bien sympa et très Berlin spirit. Service attentionné et ultra rapide. Vraiment une bonne adresse pour manger sur Lyon."
78,févr. 2019,"4,0","Nous sommes venus entre amis et nous avons passés un très bon moment! 
un large choix de bière , des burgers délicieux et à prix abordables
Nous recommandons 👌"
79,févr. 2019,"5,0",Une gamme de bières uniques. Des bagels apetissants et bien bons. Une équipe au top. Je recommande le Kaffee Berlin !
80,janv. 2019,"4,0","Logé en Aibnb juste au dessus du café/restau, je me suis laissé tenter par ce petit endroit qui me paraissait toujours rempli de monde.

L'ambiance est vraiment cool: un peu loft industriel, un peu de musique.

Les serveurs sont vraiment sympas et ils font un boulot de fou... Ils n'arrêtent pas une seule seconde.... entre les commandes présentielles et les commandes à emporter... chapeau messieurs !

Les plats étaient vraiment bons... Ce n'est pas de la grande cuisine mais c'est déjà bien mieux que beaucoup de restau sur lyon.
Je me suis plus régalé ici que dans un des bouchons lyonnais labellisé.

Pour sûr, j'y reviendrai !

Merci encore pour ce moment sympa."
81,déc. 2018,"4,0","Ce bar est vraiment sympa, la clientèle est plutôt jeune /étudiante. Les assiettes tapas ou les plats sont vraiment bons , ils reprennent les recettes traditionnelles allemandes.

La carte des bières ravira tous les amateurs et les cocktails sont assez créatifs.

Tarifs canons, ambiance sympa et service top."
82,févr. 2019,"4,0","L'adresse m'a été suggéree par la réceptionniste de l'hôtel que j'occupais dans la même rue.
La clientèle est majoritairement étudiante.
Bon burger et bières pression, à des prix dans la moyenne haute cependant.
Ça dépanne !"
83,févr. 2019,"2,0","Prix trop chers, et au delà de ça, j'ai été surprise par l'accueil, dans le mauvais sens. Serveur pas sympa.
Et j'ajoute aussi qu'en tant que livreuse Deliveroo obligée d'attendre 10 minutes dans le froid à -5°, j'ai été sèchement reconduite dehors quand j'ai tenté un repli au chaud... Bref, passez votre chemin, il y a plein d'autres restos bien plus sympas aux alentours."
84,janv. 2019,"5,0","Service rapide, plat très bon, accueil excellent. Ambiance garage avec mobilier de récupération. Je recommande."
85,janv. 2019,"3,0","Le concept est sympa, tout comme la déco, la carte assez fournie entre les salades, bagels, burgers et viandes. Les prix plutôt cheap pour Lyon. Mais au final je n'ai pas trop adhéré ... J'ai opté pour la Zuckersalat aux accents asiatiques et même si mon allemand me laissait présager des notes sucrées salées je le m'attendait pas à ce que mon poulet soit aussi sucré. C'était limité pas mangeable. De plus les tailles des salades laissent un peu sur notre faim et j'ai été déçue de ne pas avoir plus de légumes... Mon conjoint avait opté pour la planche de saucisses. Rien à redire. C'était copieux. Le service plutôt sympa mais notre serveuse était débordée sans qu il n y ait trop de monde ... au final, pas sûre d'y retourner"
86,janv. 2019,"4,0","Le restaurant était complet quand nous nous y sommes rendu, malgré tout le service était souriant et agréable ils nous ont fait patienter un petit moment avant de nous installer, nos viandes étaient toutes deux très bien cuites et bonnes, les cocktails aussi, merci pour ce service rapide et agréable nous reviendrons volontiers !"
87,janv. 2019,"5,0","Les burgers sont bon , concept jeune et sympa avec une carte de cocktail qui donne vraiment envie . On reviendra ! "
88,déc. 2018,"5,0","Nous y avons passé un dimanche soir, après une session shopping de Noël, et nous avons passé une excellente soirée. En plus des bières, nous avons testé les planches qui sont plutôt copieuses. Le personnel est très sympathique et commerçant. L'ambiance est plutôt jeune mais très joviale. Mention spéciale à la bière aux saveurs de choucroute ;) !"
89,déc. 2018,"4,0",Un sympathique établissement avec un personnel jovial. Malgré que ce soit la veille de leurs vacances on a pu déguster autour d'un litre de pression de délicieuses saucisses. De délicieux desserts mais portion trop légère pour les gourmands 😀
90,janv. 2019,"2,0","Nous avons dîné de deux bagels assez indigestes. Temps d’atte assez long et musique très très forte... bref, peut mieux faire"
91,déc. 2018,"4,0",De très bonnes bières présentées sur diverses cartes. On peut aussi s'y restaurer. Un endroit sympa à recommander. 
92,déc. 2018,"4,0","L'endroit est parfait pour une soirée entre amis, les bières sont excellentes, la nourriture est tout à fait satisfaisante et l'ambiance très agréable."
93,déc. 2018,"3,0","Le repas est correct, mais malheureusement pas très copieux. Il manque de la générosité dans les quantités à mon goût, et pourtant j'étais parti sur un burger à 14 euros. Mais le cadre et le concept sont sympas"
94,déc. 2018,"3,0",Un des rares restaurants raisonnables ouverts le dimanche... l’accueil est sympa et le service sommaire. La carte n’est pas très étoffée mais il y en a pour tous les goûts. Les viandes sont bonnes sans être excellentes... mais ça reste un très bon rapport qualité prix.
95,nov. 2018,"4,0","Un restaurant de quartier, proche des immeubles de bureaux; Le cadre y est sympa, la carte complète spécialité de burgers et bagels. Pour un prix plus que correct, et un service rapide, et avec le sourire."
96,nov. 2018,"4,0","Service accueillant, burgers appétissants et bonne bière allemande. De quoi faire le bonheur de tout un chacun !"
97,oct. 2018,"5,0","Bel endroit pour une bière et des burgers ou des plats allemands typiques !
Décoration ""Jâgermeister"" sympa, salle à l'étage pour groupes ..."
98,oct. 2018,"5,0","Nous avons mangé avec 4 amis autour d’une table mais nous étions réellement 12 sur 3 tables de 4, l’acceuil a été super pour nous trouver de la place. Les baggels sont excellents, le choix est au top, on peut juste reprocher le temps d’attente pour se faire servir mais sans soucis car nous étions pas pressés. En bref, allez-y c’est parti! Merci à vous..."
99,oct. 2018,"5,0","Excellent repas, très bon rapport qualité prix ! Merci à Charles Cyril l’ancien serveur extérieur qui était fort sympathique! "
100,oct. 2018,"5,0","Venu tardivement un samedi Midi, on a été très agréablement accueillis dans un cadre bien sympa.
La nourriture est bonne ainsi que les bières. Dommage, certaines étaient en rupture de stock.
On recommande le burger et la planche de saucisses."
101,oct. 2018,"4,0","Si l'affluence est importante et entraîne un service assez lent, les hamburgers valent le coup d'attendre. Ils sont gourmands, l'humburger au saint marcellin notamment est très bon! 

Si vous avez le temps a votre pause déjeuner : allez y!"
