,Date,Notes,Commentaires
56,oct. 2022,"5,0","Bravo !!! un excellent moment .
Un accueil très sympathique un service impeccable et un  chef  au Top.
Nous avons passé un super moment, les plats sont délicieux.
N'hésitez pas à vous rendre dans ce très bon restaurant.
Vous ne serez pas déçus !!!"
57,oct. 2022,"5,0","Excellent 
Exquis 
Exceptionnel 
Que ce soit la nourrîtes la carte des vins et le service
Un sans faute
Meilleur rapport qualité prix de Lyon actuellement"
58,sept. 2022,"5,0",Accueil superbe. Très agréablement surprise par le rapport qualité prix. Un de meilleure restaurant lyonnais. Je recommande à 1000%.
59,juin 2022,"4,0","Excellente surprise et très bon restaurant. De passage à Lyon, nous sommes allés à l'Agastache et nous n'avons pas été déçus : bravo continuez comme ca !"
60,sept. 2022,"5,0","Rapport qualité prix imbattable 
Un travail incroyable réalisé par deux personnes seulement 
Pensez à réserver bien en avance 
Bravo !"
61,sept. 2022,"5,0","Restaurant testé pour le déjeuner après avoir été guidés par les avis TripAdvisor. 

Jolie découverte. Les plats sortent de l'ordinaires, les saveurs sont travaillées et le rapport qualité-prix est excellent. 

Le service était très agréable également. 

Je recommande volontiers ce restaurant. 
"
62,juil. 2022,"5,0","Pour avoir testé de nombreux restaurants à Lyon, celui-ci reste clairement le meilleur rapport qualité/prix! Tout était excellent et très bien présenté. La salle climatisée est appréciée en pleine canicule. Le personnel est très sympa, la déco est chouette aussi! Je recommande vivement!"
63,août 2022,"5,0","Je confirme.
3 visites = 3 succès !
Malgré une climatisation défaillante en ce jour de canicule, les assiettes restent merveilleuses.
Merci à vous de maintenir ces tarifs accessibles à tous ! C'est pour cela que nous revenons régulièrement !"
64,août 2022,"5,0","Trouvant au départ arbitraire le choix qui nous est laissé entre deux entrées, deux plats et deux desserts ni plus, je me laisse envoûter tout de même par ce diktat. 
Ce restaurant est à la hauteur de sa réputation et tous les plats, de l'entrée jusqu'au dessert n'a été que du bonheur. Et même le simple fait des différentes textures souvent glacés a été une agréable surprise. Je comprends pourquoi ce choix délibéré de réduire la carte puisque le chef sublime dans l'art de donner du bonheur dans nos assiettes. 
Seul bémol est le service un peu long mais étant deux jeunes qui tiennent cet établissement, il n'en reste pas moins une référence sur Lyon."
65,août 2022,"5,0","Invités nous ne connaissions pas du tout mais quelle belle surprise du début à la fin  , produits super bien travaillés,  pas d'attente et un service sans reproches , continuez ainsi . Bravo "
66,juil. 2022,"5,0","Parfait, allez y les yeux fermés avant que les prix montent. Service très agréable. Par contre prévoyez plusieurs mois a l'avance pour réserver."
67,juil. 2022,"5,0","Nous y avons déjeuner ce midi et ce fut excellent mais qui plus est étonnant. Le repas était composé de produits de qualité sans qu’ils soient dénaturés.
Un vrai plaisir"
68,juil. 2022,"5,0",Tout était réussi de la mise en bouche au dessert. Le service est souriant et efficace. On a passé une super soirée.on reviendra
69,juin 2022,"5,0","Remarquable 
Nous sommes allés de découvertes en découvertes aussi bien gustatives que visuelles de l' entrée au dessert en passant par le fromage. 
Tout est revisite et travaille avec grand talent 
Le seul bémol,  victime de votre succès pas de place pour l' imprévu d'un soir"
70,juil. 2022,"5,0","C est la première fois que nous tentions ce restaurant et nous n avons pas été déçus …. Bien au contraire. Nous avons été surpris par la carte où ne figurait qu un seul menu avec 2 choix possibles pour les plats principaux. 
Après cette étonnement nous sommes partis vers un « paradis gustatif « avec des saveurs délicates et audacieuses, des cuissons parfaites … un véritable plaisir pour les yeux et les papilles. On sent un passage chez des grands maîtres !!!! 
Le service est au diapason de la cuisine avec un très gentil serveur. 
La déco est simple mais agréable. On s y sent bien.
Une chose est certaine ; nous reviendrons ….. 
vraiment a conseiller
Bravo au chef et son adjoint en salle"
71,juin 2022,"5,0","C'est une adresse très courue, et l'on comprend pourquoi. Excellent rapport qualité-prix dans le registre semi-gastronomique : 35 euros pour une offre épurée, deux choix d'entrée, plat et dessert, accompagnés d'amuse-bouche, d'un interlude et d'un pré-dessert, où tout est appétissant sur le fond comme la forme."
72,juin 2022,"5,0","Une cuisine raffinée; des accords de saveurs, textures, températures géniaux; un service impeccable. Et le tout, en toute simplicité. Nous avons adoré !"
73,juin 2022,"5,0","Cuisine originale, simple et raffinée, savoureuse à souhait.
Service très sympathique.
Prix très doux au regard de la qualité.
La salle est agréable mais petite et, sans réservation, peu d'espoir de trouver un couvert."
74,mai 2022,"5,0","Excellent du début à la fin, service impeccable. Il n'y a pas grand chose d'autre à dire quand c'est parfait.
Le rapport qualité-prix est imbattable."
75,mai 2022,"5,0","Un nouveau dîner à l'Agastache et toujours autant de plaisir pour les yeux et les papilles.
Tous les plats sont surprenants et très travaillés.
Service attentionné.
Comme beaucoup nous recommanderons et reviendrons.
En fait un incontournable sur Lyon."
76,mai 2022,"5,0",Restaurant excellent. Tout était parfait de l'entrée au dessert. Personnel très accueillant. Bon rapport qualité/prix.
77,mai 2022,"5,0","Excellent, un des meilleurs restaurants de Lyon ! On en redemande  !
Tout est frais, vegetal et travaillé. 
Les associations sont très recherchées.
Globalement on s’est dit a chaque assiette qu’on en aurait bien repris, meme si a la fin la satiété est la sans qu’on explose. 
Un petit point d’amélioration : plus de générosité sur le jus corsé qui était excellent, et un peu plus d’enchaînement sur la fin !
Le fromage revisité est une tuerie.
Le statut de bib gourmand largement mérité, on se rapproche meme du macaron !!!!
Excellent accueil !"
